scenario,label,total_jobs_end,minerals_sector_jobs,high_skill_jobs,mid_skill_jobs,entry_skill_jobs,avg_wage_gbp,wage_premium_vs_ni,wage_bill_gbp_m,retained_local_jobs,local_retention_rate,skilled_training_need
1_baseline,Baseline,1147.7,861.7,205.7,387.8,268.2,38501.0,1.112,33.18,803.4,0.7,193.0
2_circular_innovation,Circular innovation,1513.8,1131.7,262.5,509.3,359.9,37670.0,1.088,42.63,1211.1,0.8,283.7
4_integrated,Integrated circular + primary,2010.2,1525.5,389.6,686.5,449.4,40560.0,1.171,61.87,1728.8,0.86,697.7
local_skills_focus,Local-content + skills focus,1392.5,1042.2,243.6,469.0,329.6,37890.0,1.094,39.49,1350.7,0.97,253.8
